Name	Status	2020-02-29	2020-03-04	2020-03-08	2020-03-12	2020-03-16	2020-03-19
Vogtlandkreis	County	0	0	0	0	2	7
Zwickau	County	0	0	0	0	14	50
Sachsen-Anhalt [Saxony-Anhalt]	State	0	0	0	24	77	152
Altmarkkreis Salzwedel	County	0	0	0	0	1	3
Anhalt-Bitterfeld	County	0	0	0	1	6	7
Börde	County	0	0	0	4	12	22
Burgenlandkreis	County	0	0	0	1	4	12
Dessau-Roßlau	County-level City	0	0	0	0	2	4
Halle (Saale)	County-level City	0	0	0	7	13	40
Harz	County	0	0	0	2	6	7
Jerichower Land	County	0	0	0	0	1	3
Magdeburg	County-level City	0	0	0	3	16	27
Mansfeld-Südharz	County	0	0	0	1	1	3
Saalekreis	County	0	0	0	2	3	8
Salzlandkreis	County	0	0	0	1	9	8
Stendal	County	0	0	0	0	1	5
Wittenberg	County	0	0	0	2	2	3
Schleswig-Holstein	State	1	3	7	31	123	253
Dithmarschen	County	0	0	1	1	6	10
Flensburg	County-level City	0	0	0	0	1	7
Herzogtum Lauenburg	County	0	1	1	3	12	21
Kiel	County-level City	0	0	0	7	13	25
Lübeck	County-level City	1	1	2	7	11	19
Neumünster	County-level City	0	0	0	0	0	5
Nordfriesland	County	0	0	0	0	2	10
Ostholstein	County	0	0	0	1	4	7
Pinneberg	County	0	0	1	5	24	54
Plön	County	0	0	0	2	5	10
Rendsburg-Eckernförde	County	0	0	0	1	12	21
Schleswig-Flensburg	County	0	0	0	1	16	21
Segeberg	County	0	0	1	2	6	18
Steinburg	County	0	0	0	0	4	8
Stormarn	County	0	1	1	1	7	17
Thüringen [Thuringia]	State	0	1	1	14	55	108
Altenburger Land	County	0	0	0	0	3	5
Eichsfeld	County	0	0	0	0	3	3
Eisenach	County-level City	0	0	0	0	1	1
Erfurt	County-level City	0	0	0	2	8	15
Gera	County-level City	0	0	0	1	1	4
Gotha	County	0	0	0	0	1	1
Greiz	County	0	0	0	0	3	15
Hildburghausen	County	0	0	0	0	0	0
Ilm-Kreis	County	0	0	0	1	1	3
Jena	County-level City	0	0	0	0	8	9
Kyffhäuserkreis	County	0	0	0	4	7	8
Nordhausen	County	0	0	0	0	2	2
Saale-Holzland-Kreis	County	0	0	0	3	3	6
Saale-Orla-Kreis	County	0	1	1	3	3	4
Saalfeld-Rudolstadt	County	0	0	0	0	5	8
Schmalkalden-Meiningen	County	0	0	0	0	2	4
Sömmerda	County	0	0	0	0	0	1
Sonneberg	County	0	0	0	0	0	0
Suhl	County-level City	0	0	0	0	1	1
Unstrut-Hainich-Kreis	County	0	0	0	0	0	2
Wartburgkreis	County	0	0	0	0	0	5
Weimar	County-level City	0	0	0	0	2	7
Weimarer Land	County	0	0	0	0	1	4
Deutschland [Germany]	Federal Republic	116	361	1049	2726	6981	15012
